,itemname,tag
65019,Nelli Faluda,Fruit Juice
65048,Pepper Mutton,Stir Fry
65052,Green Peas & Cashew Nut Curry,Curry
65057,Chicken Biriyani Masala,Biriyani
65077,Tamarind Seer,Seafood
65091,Cheese Kotthu with Chicken,Kottu
65094,Toast Paan with Polos Curry & Pol Sambol,Bread
65099,Rose Syrup,Condiments
65100,(2) Pieces Dates Halwa,Indian Sweets
65101,Kithul Jaggry Dhodal,Indian Sweets
65105,(3) Pieces Chicken Samosa,Short eats
65107,Ghee Boondi,Indian Sweets
65110,Red Boondi,Indian Sweets
65114,(2) Pieces Mysore Pak,Indian Sweets
65116,(3) Pieces Fish Roll,Short eats
65120,Fruit Muscat,Indian Sweets
65122,(2) Pieces Special Almond Burfi,Indian Sweets
65124,Assorted Sweet Box,Indian Sweets
65126,Butter Muscat,Indian Sweets
65127,Nut Muscat,Indian Sweets
65128,(2) Pieces Special Cashew Pak,Indian Sweets
65129,Almond & Cashew Muscat,Indian Sweets
65130,(2) Pieces Milk Peanut Burfi,Indian Sweets
65133,Rich Muscat,Indian Sweets
65135,Gulab Jamun Cup (5 Pcs),Indian Sweets
65139,(3) Pieces Egg Roll,Short eats
65141,Chocolate Fudge Brownie (A24) 500 ml,Ice Cream
65143,Vanilla Fudge Brownie (C07) 500 ml,Ice Cream
65145,Salted Caramel Cream (C02) 500 ml,Ice Cream
65146,Decadent Chocolate (A22) 500 ml,Ice Cream
65147,Dark Chocolate Sorbet (S35) 500 ml,Ice Cream
65468,Oreo Milk Shake,Shakes
65469,MIlo Milk Shake,Shakes
65471,Waffles With Mango Ice Cream,Waffles
65807,"2 Vanilla Cups, 3 Pani Cadju Cups & 2 Chocolate Cups",Ice Cream
66070,Cheesy Chicken Burger,Burger
66072,Jumbo Hot Dog,Burger
66073,Perfect Chocolate Cake - 500g,Cakes
66074,Perfect Chocolate Cake - 1kg,Cakes
66075,Ribbon Cake - 500g,Cakes
66076,Ribbon Cake - 1kg,Cakes
66077,Chocolate Treat Cake - 1kg,Cakes
66078,Love Cake - 350g,Cakes
66079,Love Cake - 750g,Cakes
66080,Perfect Chocolate Cake 500g - With Birthday Greeting,Cakes
66081,Perfect Chocolate Cake 1 Kg - With Birthday Greeting,Cakes
66082,Ribbon Cake 500g - With Birthday Greeting,Cakes
66083,Ribbon Cake 1 Kg - With Birthday Greeting,Cakes
66084,Chocolate Treat Cake 1 Kg - With Birthday Greeting,Cakes
66086,Chocolate Biscuit Pudding - Small,Desserts
66087,Chocolate Biscuit Pudding - Family Pack,Desserts
66088,Chocolate Biscuit Pudding (6x6),Desserts
66089,Crushed Meringue - Small,Desserts
66090,Crushed Meringue (6x6),Desserts
66091,Salted Caramel Choc Pot - Small,Desserts
66092,Salted Caramel Choc Pot - Family Pack,Desserts
66093,Belgian Mousse - Small,Desserts
66094,Belgian Mousse (6x6),Desserts
66096,Tiramisu - Family Pack,Desserts
66097,Battenburg - 2 Slices,Cakes
66098,Battenburg - 4 Slices,Cakes
66099,Battenburg - 8 Slices,Cakes
66100,Nutella Brownie - 2 Pcs,Desserts
66101,Nutella Brownie - 8 Pcs,Desserts
66102,Nutella Brownie - 4 Pcs,Desserts
66146,Basil Chicken Aglio,Pasta
66147,Chicken Rasher & Mushroom Aglio,Pasta
66148,Prawn Aglio,Pasta
66149,Arrabiata with Chicken Rasher,Pasta
66150,Marinara,Pasta
66151,Meatballs,Pasta
66152,Spicy Chicken,Pasta
66155,Aglio Olio,Pasta
66156,Al Funghi,Pasta
66563,Mediterranean Grilled Chicken,Wrap
66564,Fanta Orange,Soft Drinks
67114,Korean Hot Dog,Burger
67306,Layered Paratha - 4,Roti
67309,String Hoppers Kottu,Kottu
67345,Mongolian Rice Veggie,Rice
67348,Fried Rice -Vegetable,Rice
67518,BBQ Rice,Rice
67520,BBQ Pork Chop – Pack 1,BBQ
67521,BBQ Pork Chop – Pack 2,BBQ
67769,Dhal Curry - 2 Portions,Curry
67773,Fish Bun - 3 Nos,Short eats
67774,Beef Roti - 3 Nos,Roti
67775,Fish Roti - 2 Nos,Roti
67776,Veg Roti - 2 Nos,Roti
67783,Vadai - 3 Nos,Street Food
67784,Plain Roti - 4 Nos,Roti
67785,Paratha - 4 Nos,Roti
67797,Roast Bread with Pol Sambol & Fried Egg,Bread
67798,Vegetable Puff (2),Short eats
67799,Banana Bread,Bread
67801,Ribbon Cake with Brownie Pieces,Cakes
67804,Creamy Vegetable Pie (2),Short eats
67805,Polos Bun (2),Short eats
67808,Strawberry Doughnut,Bread
67812,Chocolate Muffin,Cakes
67813,Blueberry Muffin,Cakes
67814,Cappuccino Doughnut,Coffee
67815,White Doughnut,Bread
67894,Chicken Pie (4 Pack),Short eats
68288,Sweet Corn Vegetable,Stir Fry
68289,Sweet Corn Chicken,Stir Fry
68292,Mix Seafood Soup,Seafood
68293,Mexicana Chicken Wrap,Wrap
68304,Mix Shawarma Plate - Chicken & Beef,Shawarma
68306,Chicken Kebab Wrapped,Wrap
68307,Chicken Kebab Plate (2 Skewers With Salad),Salad
68312,Club Sandwich Vegetable,Sandwiches
68314,Egg Burger With Cheese,Burger
68317,Chicken Patty Burger With Egg,Burger
68318,Texas Beef Burger With Egg,Burger
68319,Texas Beef  Burger,Burger
68323,Beef Submarine,Shawarma
68326,Cheese Kottu - Chicken,Kottu
68332,Schezwan Noodles Chicken,Noodles
68336,Seafood Mix Noodles,Noodles
68341,Mixed Mee Goreng - spicy,Noodles
68348,Schezwan Rice Chicken,Rice
68353,Chicken Naasi Goreng - Spicy,Rice
68354,Chicken & Prawn Naasi Goreng - Spicy,Rice
68355,Beef Naasi Goreng - Spicy,Rice
68356,Prawn Naasi Goreng - Spicy,Rice
68357,Seafood Naasi Goreng - Spicy,Rice
68359, Pita Bread ,Bread
68373,Devilled chicken,Stir Fry
68374,Chili Chicken -Dry,Bites
68375,Hot Butter Chicken - Dry,Bites
68379,khadai Chicken,Curry
68385,Khadai Beef,Curry
68387,Chili Prawn - Dry,Bites
68388,Hot Butter Prawn - Dry,Bites
68389,Hot Butter Cuttlefish,Curry
68393,Mix Seafood Devilled,Seafood
68396,Fresh Lime with Mint,Fruit Juice
68397,Passion With Mint,Fruit Juice
68402,Fresh Avocado Juice,Fruit Juice
68406,Fresh Papaya Lassi,Shakes
68407,Fresh Mango Lassi,Shakes
68411,Fresh Mango Shake,Shakes
68412,Fresh Papaya Shake,Shakes
68413,Coffee Shake,Coffee
68562,Vegetable Kottu String Hopper,Kottu
68563,Crispy Mushroom String Hopper Kottu,Kottu
68567,Tandoori Chicken String Hopper Kottu,Kottu
68568,Spicy Mutton String Hopper Kottu,Kottu
68570,Prawn String Hopper Kottu,Kottu
68581,Blueberry Cheesecake,Desserts
68587,Red Velvet Cake,Desserts
68618,Set Menu Devilled Fish,Rice
68620,Set Menu Pepper Beef,Rice
68621,Set Menu Hot Butter Cuttlefish,Rice
68622,Set Menu Devilled Prawns,Rice
68629,Devilled Chicken & Pepper Fish,Stir Fry
68630,Devilled Chicken & Hot Butter Cuttlefish,Stir Fry
68631,Devilled Chicken & Hot Butter Prawn,Stir Fry
68632,Devilled Chicken & Pepper Beef,Stir Fry
68633,Devilled Fish & Hot Butter Prawn,Stir Fry
68641,Set Menu Devilled Chicken Noodles,Noodles
68642,Set Menu Devilled Fish Noodles,Noodles
68643,Set Menu Pepper Beef Noodles,Noodles
68655,Devilled Prawn & Hot Butter Cuttlefish,Stir Fry
68657,Tuna Submarine ,Submarine
68658,Paneer Submarine,Submarine
68730,Coca Cola (400ml),Soft Drinks
68731,Coke Zero (500ml),Soft Drinks
68733,Fanta (500ml),Soft Drinks
68766,Dutch Breudher 350g,Cakes
69176,Beef Wrap,Wrap
69178,The Hunger Rooster,Burger
70145,Special Crispy Chicken Mini Sub,Submarine
70216,"Chicken  Submarine (10"") ,french 🍟. ",Desserts
70217,Pol Roti With Chicken Sambol  (04 Pcs),Roti
70296,Carrot Cake - 1 Slice,Cakes
70306,Ginger & Date Pudding,Desserts
70336,Toast With Bullseye - 2Pcs,Bread
70337,Toast Bullseye & Cheese -3Pcs,Bread
70338,Toast With Omelets/Cheese & Sausage Slices -3 Pcs,Bread
70339,Vegetable Rice Samba,Rice
70340,Egg Rice Samba,Rice
70341,Chicken two wings with Rice - Samba,Rice
70342,Chicken Rice - Samba,Rice
71852,WAFL Cinnamon Sugar HALF,Waffles
71853,King Chocolate,Waffles
71854,Nutella & Kit Kat,Waffles
71855,Chocolate Sin,Waffles
71856,Oreo Burst,Waffles
71857,Black Forest,Waffles
71858,Brownie & Salted Caramel,Waffles
71859,WAFL All In,Waffles
71860,Choco WAFL,Waffles
71861,Choco OMG,Waffles
71862,Belgian Choco Chip,Waffles
71863,Belgian Nutella Nuts,Waffles
71864,Choco Peanut Butter Belgian,Waffles
71865,Belgian Black Current,Waffles
71866,Classic with Maple Syrup,Waffles
71867,Red Velvet Belgian Waffle,Waffles
71868,Choco Heaven Belgian Waffle,Waffles
71869,Cheese & Onion,Fast Food
71870,Chili Potato Bites,Fast Food
71871,Chicken Club WAFL,Waffles
71872,Ham & Cheese,Fast Food
71873,Smoked Chicken & Peppers,Waffles
71874,Blueberry Shake,Shakes
71878,Kit Kat Shake,Shakes
71879,Banana Caramel Shake,Shakes
71880,Choco Hazlenut Shake,Shakes
71882,Lemon Ice Tea,Tea
71890,Black Pepper Chicken Combo,Stir Fry
71891,Black Pepper Fish Combo,Stir Fry
71897,Salt & Pepper Squid,Stir Fry
71907,Tom Yum Soup Vegetable,Soup
71908,Tom Yum Soup Chicken,Soup
71909,Tom Yum Soup Seafood,Soup
71910,Tom Yum Soup Beef,Soup
71912,Spicy & Sour Soup Chicken,Soup
71913,Spicy & Sour Soup Seafood,Soup
71919,Eggplant with Basil,Stir Fry
71920,Red Chicken Curry,Curry
71921,Basil Leaf Chicken,Stir Fry
71923,Green Chicken Curry,Curry
71926,Chicken Cashew Nut,Stir Fry
71930,Basil Leaves Cuttlefish,Stir Fry
71957,Green Beef Curry,Curry
71960,Pad Thai Vegetable,Noodles
71961,Pad Thai Chicken,Noodles
71962,Pad Thai Seafood,Noodles
71963,Pad See Ew Vegetable,Noodles
71964,Pad See Ew Chicken,Noodles
71965,Pad See Ew Seafood,Noodles
71966,Pad See Ew Beef,Noodles
71967,Tom Yum Noodles Veg,Noodles
71968,Tom Yum Noodles Chicken,Noodles
71969,Tom Yum Noodles Seafood,Noodles
71970,Chicken Glass Noodles,Noodles
71971,Seafood Glass Noodles,Noodles
72086,Spicy Vegetable Fried Rice,Rice
72087,Spicy Chicken Fried Rice,Rice
72088,Spicy Seafood Fried Rice,Rice
72089,Spicy Beef Fried Rice,Rice
72092,Chicken Red Curry Fried Rice,Rice
72093,Seafood Red Curry Fried Rice,Rice
72094,Chicken Green Curry Fried Rice,Rice
72095,Seafood Green Curry Fried Rice,Rice
73174,Whopper Beef,Burger
73175,Whopper Beef Regular Meal,Burger
73176,Whopper Beef Large Meal,Burger
73177,Whopper Jr Beef,Burger
73178,Whopper Jr Beef Regular Meal,Burger
73179,Whopper Jr Large Meal,Burger
73180,Double Whopper,Burger
73181,Double Whopper Regular Meal,Burger
73182,Double Whopper Large Meal,Burger
73186,Texas Smokehouse - Beef Whopper,Burger
73187,Texas Smokehouse - Beef Whopper Regular Meal,Burger
73188,Texas Smokehouse - Beef Whopper  Large Meal,Burger
73189,Steakhouse Angus Burger,Burger
73190,Steakhouse Angus Burger Regular Meal,Burger
73192,Big King Beef,Burger
73193,Big King Beef Regular Meal,Burger
73194,Big King Beef Large Meal,Burger
73195,Long Chicken,Burger
73196,Long Chicken Regular Meal,Burger
73197,Long Chicken Large Meal,Burger
73201,Whopper Chicken,Burger
73202,Whopper Chicken Regular Meal,Burger
73203,Whopper Chicken Large Meal,Burger
73204,Big King Chicken,Burger
73205,Big King Chicken Regular Meal,Burger
73206,Big King Chicken Large Meal,Burger
73207,Texas Smokehouse - Chicken Whopper,Burger
73208,Texas Smokehouse - Chicken Whopper Regular Meal,Burger
73209,Texas Smokehouse - Chicken Whopper Large Meal,Burger
73211,Supreme Chicken Burger Regular Meal,Burger
73212,Supreme Chicken Burger Large Meal,Burger
73213,Angry Chicken Royale,Burger
73214,Angry Chicken Royale Regular Meal,Burger
73215,Angry Chicken Royale Large Meal,Burger
73216,Spicy Grilled Chicken Burger,Burger
73217,Spicy Grilled Chicken Burger Regular Meal,Burger
73218,Spicy Grilled Chicken Burger Large Meal,Burger
73219,Supreme Grilled Chicken Burger,Burger
73220,Supreme Grilled Chicken Burger Regular Meal,Burger
73223,Fish & Crisp Burger,Burger
73224,Fish & Crisp Burger Regular Meal,Burger
73225,Fish & Crisp Burger Large Meal,Burger
73227,Veggie Burger Regular Meal,Burger
73228,Veggie Burger Large Meal,Burger
73229,Veg Chili Cheese Burger,Burger
73230,Veg Chili Cheese Burger Regular Meal,Burger
73231,Big King Fish,Burger
73232,Big King Fish Large Meal,Burger
73233,Big King Veggie,Burger
73234,Big King Veggie Large Meal,Burger
73235,BK Rice Chicken,Rice
73236,BK Rice Chicken Meal,Rice
73237,Bk Rice Fish,Rice
73238,Bk Rice Fish Meal,Rice
73239,Bk Rice Veggie,Rice
73240,Rice Sawan For 4,Rice
73241,Thick Cut Fries,Fast Food
73243,Drumlets,Fast Food
73245,Chilli Chicken Cheese Sticks 5pcs,Burger
73249,Mojito - 12oz,Soft Drinks
73255,Pizza BBQ Feasta 12 Inches & Penne Rigate Al Ragu Di Funghi With 1L Coke,Pizza
73256,Pizza Big Cheese 12 Inches & Pizza Four Square Diviola 10 Inches With 1L Coke,Pizza
73295,Classic Margarita,Pizza
73296,Pollo,Pizza
74252,Chocolate Mousse Kitkat (Large Serving),Desserts
74254,Chocolate Mousse Mars (Large Serving),Desserts
74256,Chocolate Mousse Snickers (Large Serving),Desserts
74258,Chocolate Mousse Loaded (Large Serving),Desserts
74260,Chocolate Mousse Nutella (Large Serving),Desserts
74262,Chocolate Mousse Ferrero Rocher (Large Serving),Desserts
74264,Chocolate Mousse Twix (Large Serving),Desserts
74267,Chocolate Mousse (Large Serving),Desserts
74668,Fish & chips,Seafood
74797,Seafood Biriyani,Rice
74798,Mutton Biriyani,Rice
74812,Kukul Mas Yapanaya Kramayata,Curry
74813,Kukulmas Kaluwata Uyala,Curry
74814,Kukulmas Themparadu,Curry
74816,Elu Mas Masala,Curry
74817,Elu Mas Yapanaya Kramayata,Curry
74818,Elu Mas Themparadu,Curry
74819,Maalu Ambulthiyal,Curry
74820,Maalu Tempered,Curry
74822,Hot Butter Dallo,Bites
74823,Dallo Rathata,Curry
74824,Isso Yapanaya Kramayata,Curry
74825,Isso Themparadu,Curry
74827,Kakuluwo Negombo Kramayata,Curry
74828,Lankan Chilli Kakuluwo,Curry
74830,Stuffed Capsicum,Bites
74831,Beetroot Curry,Curry
74832,Pumpkin Curry,Curry
74833,Tempered Potato,Curry
74835,Beans Curry,Curry
74837,Garlic Curry,Curry
74838,Pineapple Tempered,Curry
74840,Kaju Maluwa,Curry
74841,Batu Mojuwa,Curry
74972,Beef Lamprais,Rice
75012,Special Rice & Curry,Rice
75403,Hot & Sour Vegetable,Stir Fry
75407,Onion Gherkin Salad,Salad
75409,Raita,Curry
75419,Egg Bhurji,Stir Fry
75453,Mixed (No beef) Mongolian Rice,Rice
75474,Garlic Cheese Naan,Roti
75477,Keema Paratha,Roti
75508,Paneer Masala,Curry
75527,Chicken Mughlai,Curry
75674,Vegetable Naan Wrap,Wrap
75677,Grandma Vegetable Soup,Soup
76588,Chicken Bockwurst Hot Dog,Short eats
77769,Java Signature Hot Chocolate,Shakes
77770,White Mocha,Coffee
77771,Espresso Macchiato,Coffee
77772,Irish Latte,Coffee
77773,Ice Caramel Macchiato,Coffee
77774,Ice Chocolate,Coffee
77775,Ice Latte,Coffee
77776,Ice Mocha,Coffee
77777,Ice Blended Espresso Cream Frap,Coffee
77778,Ice Blended Java Chip Cream Frap,Coffee
77779,Ice Blended Caramel Cream Frap,Coffee
77780,Ice Blended Caramel Frap,Coffee
77781,Ice Blended Coffee Frap,Coffee
77782,Ice Blended Java Chip Coffee Frap,Coffee
77783,Ice Blended Chocolate Cookie Cream Frap,Coffee
77784,Ice Blended Chocolate Cream Frap,Coffee
77786,Spicy Grilled Chicken Breast Sandwich on Ciabatta,Sandwiches
77791,Veggie Lasagna,Pasta
77793,Creamy Chicken Pesto Pasta,Pasta
77794,Bolognaise Pasta,Pasta
77798,Nightmare Cake,Cakes
77800,Java Coffee Cake,Cakes
77801,Choco Coffee Dream,Coffee
77802,Butter Croissant,Short eats
77803,Chocolate Croissant,Short eats
77805,Tandoori Chicken Puff,Short eats
77810,Rockslide Brownie,Desserts
77816,Double Mocha Macchiato,Coffee
77818,Espresso Compana,Coffee
77828,Ice White Mocha,Coffee
77830,Ice Blended White Chocolate Cream Frap,Shakes
77831,Ice Blended Caramel Cream Frap,Shakes
77832,Ice Blended Vanilla Cream Frap,Shakes
77834,Ice Blended Caramel Frap,Shakes
77837,Ice Blended Mocha Frap,Coffee
77838,Ice Blended Vanilla Frap,Shakes
77839,Ice Blended Brownie Frap,Shakes
77840,Ice Blended Chocolate Cookie Cream Frap,Shakes
77841,Ice Blended Chocolate Cream Frap,Shakes
77846,Strawberry Ice Tea,Tea
77857,Kochchi Chicken Sandwich,Sandwiches
77859,Egg & Bacon On Ciabatta Bread,Bread
77871,Beef Spaghetti Bologanese,Pasta
77874,Blueberry Cheese Whole Cake,Cakes
77877,Homemade Banana Bread,Bread
77878,Java Chocolate Chip Cake,Cakes
77884,Chili Chicken Puff,Short eats
77889,Sausages Puff,Short eats
77890,Chilli Chicken Puff,Short eats
77894,Ham & Cheese Croissant,Short eats
77901,Dark Chocolate Chip Cookies,Desserts
77904,Oatmeal Raisin Cookies,Desserts
77907,Chocolate Mousse Jar,Desserts
77908,Cream Brule Jar,Desserts
77909,No Bake Cheese Cake Jar,Desserts
77911,Red Velvet Jar,Desserts
77913,Roasted Cashew Wafer Bar,Desserts
78010,Java Signature Hot Chocolate,Coffee
78021,Ice Blended Mango Citrus Frap,Coffee
78022,Ice Blended White Chocolate Cream Frap,Coffee
78024,Ice Blended Vanilla Cream Frap,Coffee
78025,Ice Blended Strawberry Cream Frap,Coffee
78028,Ice Blended Espresso Frap,Coffee
78031,Ice Blended Vanilla Frap,Coffee
78032,Ice Blended White Mocha Frap,Coffee
78033,Ice Blended Brownie Frap,Coffee
78036,Kiwi Mint,Desserts
78039,Apple Iced Tea,Tea
78050,Bagel with Cream,Desserts
78051,Bagel with Cream Cheese & Smoked Salmon,Desserts
78054,Egg & Bacon On Ciabatta Bread,Sandwiches
78070,Strawberry Cheese Whole Cake,Cakes
78076,Oreo Cheesecake,Cakes
78087,Chicken & Mushroom Pie,Desserts
78090,Almond Croissant,Desserts
78091,Devilled Chicken Quiche,Short eats
78099,Chocolate Mint Jar,Desserts
78130,Szechuan Style Diced Chicken with Garlic or Steamed Rice - Serves 05 - 29% Off - 1730.00/=,Stir Fry
78170,Hot Chocolate with Marshmello,Shakes
78181,Classic Waffle,Waffles
78182,Chocolate Waffle,Waffles
78184,Affogato,Desserts
79193,Ice Blended Java Chip Cream Frap,Shakes
79194,Ice Blended Mango Citrus Frap,Shakes
79198,Ice Blended Strawberry Cream Frap,Shakes
79225,Bagel with Cream,Bread
79226,Bagel with Cream Cheese & Smoked Salmon,Bread
79258,Cheese Croissant,Short eats
79272,Oatmeal Raisin Cookies,Dosa
79277,No Bake Cheese Cake Jar,Cakes
79278,Red Velvet Jar,Cakes
79335,Pineapple Gateaux (Large),Cakes
79336,Chocolate Cake (Small),Cakes
79337,Butter Cake (Small),Cakes
79338,Chocolate Eclairs,Desserts
79343,Fresh Fish Patties (2 Pack),Short eats
79345,Fresh Fish Roll,Short eats
79348,Prawn Triangle,Short eats
79349,Vegetable Roll (2 Pack),Short eats
79352,Bacon & Egg Pie,Short eats
79354,Fresh Fish Pastry,Short eats
79355,Vegetable Pastry (2 Pack),Short eats
79357,Sausage Roll (2 Pack),Short eats
79358,Chocolate Fudge (Large),Cakes
79359,Love Cake (Small),Cakes
79360,Lemon Cake (Small),Cakes
79363,Nougat Crunch (Large),Desserts
79364,Chocolate Delight (Large),Cakes
79365,Chocolate Surprise 1Kg,Cakes
79366,Fresh Passion Fruit Juice,Fruit Juice
79368,Egg & Seeni Sambol Bun (2 Pack),Sandwiches
79370,Vegetable Samosa (2 Pack),Short eats
79372,Pineapple Gateaux Slice,Cakes
79374,Chocolate Delight Slice,Cakes
79376,Egg & Mayo Sandwich,Sandwiches
79377,Grilled Vegetable Brown Bread Sandwich,Sandwiches
80175,Ghee Roti,Roti
80492,"Pizza Margarita 9""",Pizza
80493,"Pizza Mediterranean 9""",Pizza
80494,"Pizza Italian (Hot) 9""",Pizza
80495,"Pizza Spicy Sri Lankan 9""",Pizza
80497,"Pizza Cajun Crisp 9""",Pizza
80498,"Pizza Pollo 9""",Pizza
80499,"Pizza Marco Polo 9""",Pizza
80500,"Pizza Romagna 9""",Pizza
80501,"Pizza Grecia 9""",Pizza
80502,"Pizza Tikka 9""",Pizza
80503,"Pizza BBQ 9""",Pizza
80504,"Pepper Pork 9""",Pizza
80505,"Pizza Tropical 9""",Pizza
80506,"Pizza Con Pepperoni E Olive 9""",Pizza
80507,"Pizza Calzone 9""",Pizza
80508,"Pizza Ai Quattro Formagi 9""",Pizza
80509,"Pizza Kheema 9""",Pizza
80510,"Pizza Pancetta & Parmigiana 9""",Pizza
80511,"Pizza Kochchi Pollo 9""",Pizza
80512,"Pizza Margarita 12""",Pizza
80513,"Pizza Mediterranean 12""",Pizza
80514,"Pizza Italian (Hot) 12""",Pizza
80515,"Pizza Spicy Sri Lankan 12""",Pizza
80517,"Pizza Cajun Crisp 12""",Pizza
80518,"Pizza Pollo 12""",Pizza
80519,"Pizza Marco Polo 12""",Pizza
80520,"Pizza Romagna 12""",Pizza
80521,"Pizza Grecia 12""",Pizza
80522,"Pizza Tikka 12""",Pizza
80523,"Pizza BBQ 12""",Pizza
80524,"Pepper Pork 12""",Pizza
80525,"Pizza Tropical 12""",Pizza
80526,"Pizza Con Pepperoni E Olive 12""",Pizza
80527,"Pizza Calzone 12""",Pizza
80528,"Pizza Ai Quattro Formagi 12""",Pizza
80529,"Pizza Kheema 12""",Pizza
80530,"Pizza Pancetta & Parmigiana 12""",Pizza
80531,"Pizza Kochchi Pollo 12""",Pizza
80532,Spaghetti Agliolio E Peperonico Rosse,Pasta
80535,Spaghetti Carbonara (Pork Bacon),Pasta
80836,Chocolate Mashup Ice Cream Rolls,Ice Cream
81326,french fries 🍟 ,Short eats
81716,Butter Chicken Curry,Curry
81738,Chicken Kung Pao,Stir Fry
81760,Seared Barramundi Fillet,Seafood
81768,Mini Chicken Sliders,Sandwiches
81769,Gourmet Beef Burger,Burger
81797,Swiss Hazelnut Cream Pie,Desserts
81798,Swiss Carrot Cake,Cakes
81800,Swiss Apple Raisin Pie,Desserts
81806,Pineapple Upside Down Cheesecake,Cakes
81828,Salted Caramel Brownie Parfait,Desserts
82079,Bread Pudding with Custard Sauce,Desserts
82080,Chocolate Fudge,Desserts
82106,Black Forest Cake,Cakes
82108,Sri Lankan Watalappan,Desserts
82113,King Coconut Vintage (1Ltr),Fruit Juice
82123,Garlic Rice with Olive Oil,Rice
82134,Garlic Noodles with Soy Sauce,Noodles
82135,Garlic Noodles with Olive Oil,Noodles
82137,Vegetable Fried Noodle,Noodles
82162,Fried Fish with Thai Chili Sauce,Stir Fry
82163,Fried Fish with Black Bean Sauce,Stir Fry
82169,Prawns with Black Pepper Sauce,Stir Fry
82172,Mutton in Black Bean Sauce,Stir Fry
82173,Mutton in Black Pepper Sauce,Stir Fry
82184,Devilled Black Mushrooms,Stir Fry
82185,Hot Butter White Mushrooms,Bites
82189,Beans in Garlic and Oyster Sauce,Stir Fry
82194,Kung Pao Mock Duck,Stir Fry
82353,Mixed Spicy Fried Rice,Rice
82361,Chef Special Rice,Rice
82363,Mixed Thai Rice,Rice
83419,Fresh Narang Fruit Juice (250ml),Fruit Juice
84595,Chicken 65,Curry
84639,Fruit Salad With Ice Cream,Desserts
84640,Fresh Fruit Platter,Desserts
84650,Lemon & Mint Juice,Fruit Juice
84651,Pineapple & Mint Juice,Fruit Juice
85317,Chicken Cheese Balls (3 Pic),Fast Food
85318,Coca-Cola (400Ml),Soft Drinks
88891,Tandoori Chicken Sub & Original Chicken Sub Just For 800/=,Submarine
89942,Omelet Rice & Curry,Rice
89947,Kiri Malu Rice & Curry,Rice
89954,Vegetable Yellow Rice,Rice
89955,Fish Yellow Rice,Rice
89956,Pork Yellow Rice,Rice
90011,Fried Fish Kuria,Bites
90014,Polos,Curry
90015,Pala Malluma,Curry
90019,Vegetables Chop,Stir Fry
90075,Tomato & Cucumber Salad,Salad
90078,Spicy Sausage Pasta Salad,Salad
90080,Chicken Noodle Soup,Soup
90083,Hot & Spicy Seafood Soup,Soup
90091,Havi Special Mixed Fried Rice,Rice
90092,Havi Special Seafood Fried Rice,Rice
90148,Havi Special Seafood Noodles,Noodles
90153,Egg & Mixed Vegetable Kottu,Kottu
90154,Chicken Devilled Kottu,Kottu
90155,Fish Devilled Kottu,Kottu
90156,Pork Devilled Kottu,Kottu
90157,Havi Special Mixed Kottu,Kottu
90167,Kankung With Ginger & Garlic Sauce,Stir Fry
90168,Garlic With Dry Chili,Stir Fry
90172,Sweet & Sour Cabbage,Stir Fry
90496,Kitkat Milkshake,Shakes
90500,Chicken Waffle Sandwich,Waffles
90501,Cheese Chicken Waffle Sandwich,Sandwiches
90502,Nutella with Boba,Bubble Tea
90503,KitKat with Boba,Bubble Tea
90504,Peanut Butter with Boba,Bubble Tea
90568,Thai Vege Set Menu,Rice
90569,Thai Spicy Minced Chicken In Basil Leaves,Stir Fry
90571,Thai Cuttlefish Set Menu,Rice
90573,Thai Pork Set Menu,Rice
90605,Chinese Mixed Meat Nasi Goreng,Rice
90633,Chinese Mixed Fried Rice,Rice
90635,Chinese Devilled Chicken,Stir Fry
90636,Chinese Manchurian Chicken,Stir Fry
90637,Chinese Chicken With Cashew Nuts,Stir Fry
90638,Chinese Hot Butter Chicken 1/2,Bites
90640,Chinese Devilled Prawns,Stir Fry
90641,Chinese Prawns In Chili Garlic,Stir Fry
90642,Chinese Sweet & Sour Prawns,Stir Fry
90643,Chinese Prawns With Vegetables,Stir Fry
90645,Chinese Manchurian Prawns,Stir Fry
90658,Chinese Plain Kankun,Stir Fry
90660,Chinese Vegetable Chopsuey,Stir Fry
90661,Chinese Devilled Bean Curd,Stir Fry
90673,Chinese Fried Fish In Button Mushroom,Stir Fry
90674,Chinese Fish Fillet In Orange Sauce,Stir Fry
90675,Chinese Fish Fillet In Hot Garlic Sauce,Stir Fry
90680,Chinese Sweet & Sour Cuttlefish,Stir Fry
90738,Devilled Soya Meat,Stir Fry
90742,Sausage Burger,Burger
90743,Egg & Bacon Burger,Burger
90744,Scramble Egg & Seeni Sambal,Burger
90746,Sausage & Bacon Burger,Burger
90747,Egg Sausage Burger,Burger
90750,Iced Milo 12 Oz,Shakes
90754,Cappuccino 8oz,Coffee
90755,Latte 8oz,Coffee
90835,Chicken Fried Rice with Curry,Rice
90837,Egg fried rice,Rice
90839,Fish ,Rice
90843,Ambulthiyal ,Rice
90847,Chicken,Rice
90850,Salmon,Rice
90885,Egg ,Rice
91439,Baguette Tradition,Bread
91440,Rustique,Bread
91441,Ciabatta Loaf,Bread
91442,Sourdough Range Batard Tradition,Bread
91443,Multi Grain Loaf,Bread
91444,Bagel,Bread
91446,La Verte,Soft Drinks
91447,Le Creamy Chicken Grilled Sandwich,Sandwiches
91448,Le Spicy Lanka Grilled Sandwich,Sandwiches
